CONFIGURACIÓN,,,,,,,,,
Envío Total ($),"$160,00",,,,,,,,
Margen de Ganancia (%),80%,,,,,,,,
Total de Artículos,53,,,,,,,,
Envío por Artículo ($),"$3,0189",,,,,,,,
Dólar Físico (pesos),$620,,,,,,,,
Dólar Digital (pesos),$500,,,,,,,,
Factor de Ajuste (físico/digital),"1,2400",,,,,,,,
,,,,,,,,,
Paquete,Producto,Costo Original ($),Costo Envío ($),Costo Total ($),Costo Ajustado ($),Margen (%),Precio Venta ($),Precio Venta (pesos),Ganancia ($)
Paq 8 - Silquee,Silquee Set 2 piezas estilo romántico francés - Negro / L,"$10,79","$3,02","$13,81","$17,12",80%,"$30,82",$15.411,"$13,70"
Paq 8 - Silquee,Silquee Set 2 piezas estilo romántico francés - Negro / S,"$10,79","$3,02","$13,81","$17,12",80%,"$30,82",$15.411,"$13,70"
Paq 8 - Silquee,Silquee Set 2 piezas estilo romántico francés - Negro / M,"$10,79","$3,02","$13,81","$17,12",80%,"$30,82",$15.411,"$13,70"
Paq 9 - Seduluxe,Seduluxe 2 piezas Conjunto bordado malla - Óxido marrón / 8(L),"$11,39","$3,02","$14,41","$17,87",80%,"$32,16",$16.080,"$14,29"
Paq 9 - Seduluxe,Seduluxe 2 piezas Conjunto bordado malla - Óxido marrón / 4(S),"$11,39","$3,02","$14,41","$17,87",80%,"$32,16",$16.080,"$14,29"
Paq 9 - Seduluxe,Seduluxe Set 2 piezas encaje rojo rosa maduro - Burdeos / 8(L),"$7,79","$3,02","$10,81","$13,40",80%,"$24,13",$12.063,"$10,72"
Paq 9 - Seduluxe,Seduluxe Set 2 piezas encaje rojo rosa maduro - Burdeos / 6(M),"$7,79","$3,02","$10,81","$13,40",80%,"$24,13",$12.063,"$10,72"
Paq 9 - Seduluxe,Seduluxe Set 2 piezas encaje rojo rosa maduro - Burdeos / 4(S),"$7,79","$3,02","$10,81","$13,40",80%,"$24,13",$12.063,"$10,72"
Paq 9 - Seduluxe,Seduluxe 2 piezas Conjunto bordado malla - Rojo / 8(L),"$11,29","$3,02","$14,31","$17,74",80%,"$31,94",$15.969,"$14,19"
Paq 9 - Seduluxe,Seduluxe 2 piezas Conjunto bordado malla - Rojo / 6(M),"$11,29","$3,02","$14,31","$17,74",80%,"$31,94",$15.969,"$14,19"
Paq 9 - Seduluxe,Seduluxe 2 piezas Conjunto bordado malla - Rojo / 4(S),"$11,29","$3,02","$14,31","$17,74",80%,"$31,94",$15.969,"$14,19"
Paq 9 - Seduluxe,Seduluxe 2 piezas Conjunto bordado malla - Óxido marrón / 6(M),"$11,39","$3,02","$14,41","$17,87",80%,"$32,16",$16.080,"$14,29"
Paq 10 - Mixto,2 piezas Conjunto lencería sexy malla ultra - Marrón / 6(M),"$8,49","$3,02","$11,51","$14,27",80%,"$25,69",$12.844,"$11,42"
Paq 10 - Mixto,2 piezas Conjunto lencería sexy malla ultra - Negro / 4(S),"$8,59","$3,02","$11,61","$14,39",80%,"$25,91",$12.955,"$11,52"
Paq 10 - Mixto,2 piezas Conjunto lencería sexy malla ultra - Negro / 6(M),"$8,59","$3,02","$11,61","$14,39",80%,"$25,91",$12.955,"$11,52"
Paq 10 - Mixto,2 piezas Conjunto lencería sexy malla ultra - Marrón / 4(S),"$8,49","$3,02","$11,51","$14,27",80%,"$25,69",$12.844,"$11,42"
Paq 10 - Mixto,YMTSM Set Ligas de Pierna Cuero PU Remaches Punk - Negro / Unitalla,"$4,00","$3,02","$7,02","$8,70",80%,"$15,67",$7.833,"$6,96"
Paq 11 - EverydayBra,3 Conjuntos 6 piezas sujetador y pantie bordado flor - Negro / 8(L) (conjunto 1 de 3),"$9,86","$3,02","$12,88","$15,97",80%,"$28,75",$14.373,"$12,78"
Paq 11 - EverydayBra,3 Conjuntos 6 piezas sujetador y pantie bordado flor - Negro / 8(L) (conjunto 2 de 3),"$9,86","$3,02","$12,88","$15,97",80%,"$28,75",$14.373,"$12,78"
Paq 11 - EverydayBra,3 Conjuntos 6 piezas sujetador y pantie bordado flor - Negro / 8(L) (conjunto 3 de 3),"$9,86","$3,02","$12,88","$15,97",80%,"$28,75",$14.373,"$12,78"
Paq 11 - EverydayBra,3 Conjuntos 6 piezas sujetador y pantie bordado - Verde / 6(M) (conjunto 1 de 3),"$9,70","$3,02","$12,72","$15,77",80%,"$28,39",$14.194,"$12,62"
Paq 11 - EverydayBra,3 Conjuntos 6 piezas sujetador y pantie bordado - Verde / 6(M) (conjunto 2 de 3),"$9,70","$3,02","$12,72","$15,77",80%,"$28,39",$14.194,"$12,62"
Paq 11 - EverydayBra,3 Conjuntos 6 piezas sujetador y pantie bordado - Verde / 6(M) (conjunto 3 de 3),"$9,70","$3,02","$12,72","$15,77",80%,"$28,39",$14.194,"$12,62"
,,,,,,,,,
TOTALES,,"$542,23","$160,00","$702,23","$870,77",,"$1.567,38",$783.689,"$696,61"
